Oid,Sediment.Y [mm],HSI_depth,Rmean,RABD845,RABD655-685max
21036,1262.16,1262.16,0.174871292,0.993258858,1.13465732
21037,1262.22,1262.22,0.179822672,0.990763128,1.139697534
21038,1262.28,1262.28,0.186475731,0.990121421,1.135843747
21039,1262.34,1262.34,0.18964519,0.988862015,1.137392076
21040,1262.4,1262.4,0.190814794,0.98862488,1.139497708
21041,1262.46,1262.46,0.185564517,0.988982655,1.145145483
21042,1262.52,1262.52,0.174315865,0.991829401,1.150476975
21043,1262.58,1262.58,0.163615556,0.992702421,1.160693232
21044,1262.64,1262.64,0.154306413,0.995226238,1.161712282
21045,1262.7,1262.7,0.151432769,0.994401741,1.161198167
21046,1262.76,1262.76,0.151638069,0.993788563,1.158629849
21047,1262.82,1262.82,0.155263275,0.991562407,1.153871694
21048,1262.88,1262.88,0.159156164,0.990369881,1.153170891
21049,1262.94,1262.94,0.160210849,0.99013521,1.15922174
21050,1263,1263,0.157836343,0.993520113,1.168863468
21051,1263.06,1263.06,0.154143852,0.99126648,1.191881253
21052,1263.12,1263.12,0.152220179,0.992372869,1.209629792
21053,1263.18,1263.18,0.153865834,0.991617361,1.216387721
21054,1263.24,1263.24,0.15834708,0.993553831,1.21826337
21055,1263.3,1263.3,0.165772199,0.988417494,1.211939317
21056,1263.36,1263.36,0.172444642,0.989769804,1.212390724
21057,1263.42,1263.42,0.176673961,0.989541643,1.199708995
21058,1263.48,1263.48,0.177581077,0.992858771,1.196401775
21059,1263.54,1263.54,0.172741077,0.992232196,1.205379626
21060,1263.6,1263.6,0.164087532,0.992697639,1.228778699
21061,1263.66,1263.66,0.154432238,0.990262368,1.24224247
21062,1263.72,1263.72,0.144704929,0.990969856,1.273170166
21063,1263.78,1263.78,0.137100405,0.99233057,1.307664443
21064,1263.84,1263.84,0.132368131,0.987199187,1.333204122
21065,1263.9,1263.9,0.130441376,0.988067073,1.357140779
21066,1263.96,1263.96,0.130984575,0.991930681,1.365518724
21067,1264.02,1264.02,0.132626545,0.987328594,1.396316939
21068,1264.08,1264.08,0.134425941,0.987859021,1.414846487
21069,1264.14,1264.14,0.1360415,0.987498741,1.445244207
21070,1264.2,1264.2,0.135888224,0.991093643,1.483479055
21071,1264.26,1264.26,0.13622388,0.990674554,1.522995279
21072,1264.32,1264.32,0.137709986,0.987549224,1.555241543
21073,1264.38,1264.38,0.14422738,0.989179709,1.492390587
